Name,Artists,PublishDate,Link,Source,ReleaseType,Special
LDO (Last Day Out),"Spank Nitti James, Hit-Boy",2026-02-02 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/spank-nitti-james-hit-boy-ldo-last-day-out/,Pitchfork,track,
Murder She Wrote,Chaka Demus & Pliers,2026-01-31 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/chaka-demus-and-pliers-murder-she-wrote/,Pitchfork,track,
Bring Custo,Burger Marty,2026-01-26 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/burgermarty-bring-custo/,Pitchfork,track,
Human Behaviour,Björk,2026-01-24 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/bjork-human-behaviour/,Pitchfork,track,
Aperture,Harry Styles,2026-01-23 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/harry-styles-aperture/,Pitchfork,track,
Where's My Phone,Mitski,2026-01-16 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/mitski-wheres-my-phone/,Pitchfork,track,
I Just Might,Bruno Mars,2026-01-09 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/bruno-mars-i-just-might/,Pitchfork,track,
Sexistential / Talk to Me,Robyn,2026-01-07 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/robyn-sexistential-talk-to-me/,Pitchfork,track,
Glitter,Eli,2025-12-05 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/eli-glitter/,Pitchfork,track,
gg,Lolina,2025-12-03 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/lolina-gg/,Pitchfork,track,
Big Daddy,Tems,2025-11-24 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/tems-big-daddy/,Pitchfork,track,
Hard,FKA twigs,2025-11-17 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/fka-twigs-hard/,Pitchfork,track,Best New Track
Dopamine,Robyn,2025-11-12 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/robyn-dopamine/,Pitchfork,track,Best New Track
Do It,underscores,2025-11-05 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/underscores-do-it/,Pitchfork,track,
Berghain,"Rosalía, Björk, Yves Tumor",2025-10-27 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/rosalia-berghain/,Pitchfork,track,
viscus,"Oklou, FKA twigs",2025-10-10 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/oklou-viscus-ft-fka-twigs/,Pitchfork,track,
Father Figure,Taylor Swift,2025-10-03 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/taylor-swift-father-figure/,Pitchfork,track,
Actually Romantic,Taylor Swift,2025-10-03 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/taylor-swift-actually-romantic/,Pitchfork,track,
Not even lying,Cece Natalie,2025-09-08 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/cece-natalie-not-even-lying/,Pitchfork,track,
Nuketown Blues,Rooster,2025-09-02 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/rooster-nuketown-blues/,Pitchfork,track,Best New Track
Bowery [ft. Kings of Leon],Zach Bryan,2025-08-08 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/zach-bryan-kings-of-leon-bowery/,Pitchfork,track,
Makaveli II,Moskino,2025-08-07 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/moskino-makaveli-ii/,Pitchfork,track,
Comafields,Burial,2025-08-05 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/burial-comafields/,Pitchfork,track,
Sé Miimii [ft. DJ Skycee],Miimii KDS,2025-08-01 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/miimii-se-miimii/,Pitchfork,track,Best New Track
The Subway,Chappell Roan,2025-08-01 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/chappell-roan-the-subway/,Pitchfork,track,
Pick Up That Knife,Wednesday,2025-07-24 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/wednesday-pick-up-that-knife/,Pitchfork,track,
New Jack Story,Corey Lingo,2025-07-24 00:00:00 +0000 UTC,https://pitchfork.com/reviews/tracks/new-jack-story/,Pitchfork,track,
